country,id,year,electricity_aid,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment,electricity_access_lag,electricity_access_improvement
"Congo, Dem. Rep.",COD,2022,117.487478,21.5,1,45.3,-1072.734594,8.924447626,1.533743878,14.79971089,59.743,3.197835105,99.010212,2.071830989,4.585,4.491476331,20.8,0.033653846
"Congo, Rep.",COG,2020,5.118048,48.7,11.8,66.2,1001.980582,-6.267777996,4.813315626,1.795371471,63.785,2.332086251,5.702174,0.924593574,22.373,3.006643832,47.7,0.020964361
"Congo, Rep.",COG,2021,3.629748,49.7,12.4,67,330.178308,1.01507338,6.323717579,1.715642755,63.519,2.316488253,5.835806,0.895271039,22.077,2.983567819,48.7,0.020533881
"Congo, Rep.",COG,2022,3.696284,50.6,12.4,67.5,-368.8700288,1.475356132,6.713963637,3.043443347,63.053,2.28055585,5.970424,0.841960506,20.261,2.941799495,49.7,0.018108652
Costa Rica,CRI,2020,34.426173,99.9,99.7,99.9,-1644.265639,-4.273354321,21.71687024,0.724911478,79.277,0.755771068,5.123105,-2.794747303,16.432,1.619944523,99.7,0.002006018
Costa Rica,CRI,2021,5.37352,100,100,99.8,-3146.180283,7.935762247,23.70029613,1.726477551,77.023,0.600406861,5.153957,-2.859852965,15.139,1.406834718,99.9,0.001001001
Costa Rica,CRI,2022,12.09541,100,100,100,-3060.056477,4.55149178,26.18114202,8.274774902,77.32,0.520031292,5.180829,-2.858138071,11.325,1.274945307,100,0
Cuba,CUB,2020,72.3454546,99.9,99.7,100,-666.696404,-10.9490846,10.84166703,2.92455399,77.567,-0.141475202,11.300698,-0.513494255,1.4,-0.031301482,99.8,0.001002004
Cuba,CUB,2021,34.7447256,100,100,100,-40.22055231,1.253693425,11.79937897,6.592344969,73.683,-0.393012542,11.256372,-0.823640913,1.373,-0.266142849,99.9,0.001001001
Cuba,CUB,2022,0.105154,100,100,100,-985.2002491,1.774853995,18.5930996,13.18401807,78.155,-0.393269983,11.212191,-0.874436312,1.254,-0.252344638,100,0
Djibouti,DJI,2020,4.447854,64.5,35.8,72.6,-158.230011,1.316363242,5.676305934,1.777407838,62.694,1.493639579,1.090156,0.825448163,27.645,1.682229503,64.7,-0.00309119
Djibouti,DJI,2021,3.866693,65.4,36.6,73.5,-166.7501308,4.522347746,6.032277956,1.181917753,62.305,1.40284751,1.105557,0.693780245,27.548,1.601216679,64.5,0.013953488
Djibouti,DJI,2022,12.211619,65,36.6,72.8,-187.0228476,3.72857647,6.60638768,5.17980848,62.859,1.373715349,1.120849,0.622995655,26.367,1.581786654,65.4,-0.006116208
Dominica,DMA,2020,2,100,100,100,-23.22365356,-16.60410952,12.74386389,-0.727116413,73.649,0.790672283,0.071995,-0.254312654,4.8654,1.21878413,99.9,0.001001001
Dominica,DMA,2021,0.3795,100,100,100,-26.00831707,6.890549417,14.47228586,1.48319445,72.814,0.577535935,0.072412,-0.486431474,5.1366,1.007006954,100,0
Dominica,DMA,2022,0.3795,100,100,100,-18.37710307,5.583546263,16.28316403,7.780615252,72.981,0.447816441,0.072737,-0.619886725,5.0264,0.872409265,100,0
Dominican Republic,DOM,2020,6.608446,100,100,100,-2559.6,-6.720239373,19.08535362,3.781031799,72.889,1.076552247,10.999664,-2.920425291,6.126,1.942914555,99,0.01010101
Dominican Republic,DOM,2021,20.765575,98.1,94.8,98.8,-3196.8,12.27199023,21.92330194,8.24300348,72.615,1.068926667,11.117873,-2.861851473,7.702,1.880982794,100,-0.019
Dominican Republic,DOM,2022,195.491475,98.1,95,98.8,-4098.8,4.858324036,24.36389337,8.811092093,74.17,0.992978305,11.228821,-2.863102342,5.504,1.753181432,98.1,0
Ecuador,ECU,2020,322.461687,98.9,97.4,99.7,-1095.103901,-9.245096377,11.49892887,-0.338872393,72.153,1.401904626,17.588595,0.900836063,6.127,1.682826688,99.1,-0.002018163
