country,id,year,electricity_aid,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment,electricity_access_lag,electricity_access_improvement
South Africa,ZAF,2021,72.479027,89.3,93.4,87.4,-40557.21185,4.703062065,14.17254425,4.611672178,62.341,0.998920419,59.392255,-0.522735593,28.77,1.728207354,90,-0.007777778
South Africa,ZAF,2022,106.286722,86.5,93.4,87.1,-6864.356333,1.91040617,15.33076927,7.039726613,61.48,0.841058244,59.893885,-0.688320301,28.838,1.557749124,89.3,-0.031354983
South Sudan,SSD,2020,4.891974,7.3,5.4,14.6,-332.59419,-1.05632143,3.099208014,29.67584355,55.48,1.506267728,10.606227,1.131034314,14.204,3.00264211,6.8,0.073529412
South Sudan,SSD,2021,1.506831,7.7,5.7,15.6,0,4.14660342,1.625841583,10.51671583,54.975,1.3303716,10.748272,0.934855402,13.868,2.877831901,7.3,0.054794521
South Sudan,SSD,2022,1.682519,8.4,1.7,15,0,2.638301426,3.127973167,-6.687320942,55.567,1.52247695,10.913164,1.103926177,12.395,3.127898076,7.7,0.090909091
Sri Lanka,LKA,2020,131.325339,100,100,100,-419.5328847,-4.624515816,12.94090451,6.153945084,76.393,0.53062656,21.919,0.373288828,5.365,1.21697057,99.8,0.002004008
Sri Lanka,LKA,2021,78.350484,100,100,100,-574.8492546,4.207485977,14.31613649,7.014780712,76.399,1.075449957,22.156,0.894440655,5.258,1.857951759,100,0
Sri Lanka,LKA,2022,202.315398,100,100,100,-869.0168982,-7.346764384,14.18230818,49.72110211,76.61,0.11277264,22.181,-0.09201903,6.33,0.989080403,100,0
Sudan,SDN,2020,0.158756,59.7,46.9,83.2,-716.9397106,-3.629800824,3.525555664,163.2577824,65.614,2.756778785,44.440486,2.268373772,12.368,3.66006344,57.6,0.036458333
Sudan,SDN,2021,8.8899462,61.8,49.4,84.2,-468.6265098,-1.868520483,3.420451904,359.0930408,65.267,2.70104594,45.657202,2.174542801,11.466,3.660879233,59.7,0.035175879
Sudan,SDN,2022,1.008708,63.2,49.4,84,-573.5044948,-0.957816591,3.532070313,138.8084602,65.578,2.630614261,46.874204,2.065416304,7.53,3.645312878,61.8,0.022653722
Suriname,SUR,2020,19.1133586,98.4,96.5,99.4,-0.348843395,-15.97519171,17.09350965,34.88978431,72.561,1.120467326,0.607065,0.961306085,8.726,1.202014633,97.9,0.005107252
Suriname,SUR,2021,0.401,98.8,97.5,99.5,124.0453495,-2.435385836,18.44733994,59.11966263,70.274,0.970459647,0.612985,0.763025735,8.459,1.076445724,98.4,0.004065041
Suriname,SUR,2022,10.6985,99,98,100,-3.35140363,2.433723709,20.06135383,52.44602728,70.289,0.821271447,0.61804,0.560549302,8.232,0.954014569,98.8,0.002024291
Syrian Arab Republic,SYR,2020,8.234192,89,75.4,100,23.06380038,-0.182330467,3.507092391,3.797035908,72.14,3.300177355,20.772595,1.842021396,15.176,4.486091992,89.2,-0.002242152
Syrian Arab Republic,SYR,2021,2.009712,88.8,74.5,100,-1352.316376,1.29973809,2.914530559,2.551128809,72.063,2.621583957,21.324367,1.153244738,14.796,3.784692803,89,-0.002247191
Syrian Arab Republic,SYR,2022,10.285194,89,75,100,-2492.241246,17.98113107,18.68208128,5.211959043,72.3,3.68690356,22.125249,2.205937955,13.813,4.829591849,88.8,0.002252252
Tajikistan,TJK,2020,35.07801,99.5,99.7,99,-36.19983127,4.400001116,3.732873708,7.932095449,67.994,2.184426969,9.543207,1.91303973,7.176,2.903235657,99.4,0.001006036
Tajikistan,TJK,2021,61.635435,99.6,99.8,98.9,-36.33764719,9.39999955,4.074560223,4.04324137,71.594,2.14442566,9.750064,1.840494206,7.253,2.941060564,99.5,0.001005025
Tajikistan,TJK,2022,166.226943,100,100,99,-162.0378195,8.000000338,4.614424214,6.613577033,71.288,2.057876336,9.952787,1.722487786,6.981,2.926889907,99.6,0.004016064
Tanzania,TZA,2020,47.901706,39.9,22,72.9,-943.7652617,1.991964606,3.251588379,3.290290628,66.408,3.013853284,61.704518,1.897723519,2.781,5.09920514,37.7,0.058355438
Tanzania,TZA,2021,88.407596,42.7,23.3,77.3,-1190.507399,4.321384295,3.451448242,3.690919588,66.201,3.007287233,63.588334,1.87855991,2.806,5.050037871,39.9,0.070175439
Tanzania,TZA,2022,169.063402,45.8,36,74.7,-1264.667981,4.566005764,3.751166748,4.350272043,66.782,2.958573452,65.497748,1.815381603,2.609,4.963154848,42.7,0.072599532
Thailand,THA,2020,3.827805,100,100,99.8,23543.52852,-6.050038469,19.20820045,-0.845937147,79.274,0.235182865,71.475664,-1.272846107,1.099,1.680538744,99.9,0.001001001
Thailand,THA,2021,0.310211,100,100,99.8,3980.422265,1.568181765,20.28093371,1.230395413,78.715,0.175345075,71.601103,-1.345319638,1.215,1.590521255,100,0
Thailand,THA,2022,1.963234,99.9,100,100,-3717.019036,2.462769341,22.21379937,6.077412284,79.68,0.133884528,71.69703,-1.395403859,0.94,1.51607961,100,-0.001
Timor-Leste,TLS,2020,0.423683,96,94.2,100,712.6961664,31.96191887,6.254998598,14.63544723,68.475,1.515821141,1.299995,0.974224061,2.792,2.713832585,90.6,0.059602649
Timor-Leste,TLS,2021,2.663841,100,100,100,419.0352332,5.315537431,6.970000221,30.41926867,67.737,1.598470014,1.320942,1.050866835,2.344,2.788886914,96,0.041666667
Timor-Leste,TLS,2022,4.270635,99.7,100,100,395.3834471,-20.54158677,5.83824159,32.74299065,69.056,1.52911923,1.341296,0.972788556,1.537,2.717630257,100,-0.003
Togo,TGO,2020,0.981315,54.1,24.3,94,-53.0561598,1.992155019,2.420165061,1.699284633,61.035,2.391219022,8.44258,1.430808329,2.211,3.689331238,52.5,0.03047619
Togo,TGO,2021,2.348333,55.7,24.7,96.3,-455.9537976,5.990876104,2.646828039,4.186215065,61.619,2.367338962,8.644829,1.387019242,2.285,3.662659531,54.1,0.029574861
Togo,TGO,2022,9.979639,57.2,25,96.5,-471.3666845,5.759542515,2.927335759,7.967573616,61.588,2.330910384,8.848699,1.331978155,2.065,3.621040501,55.7,0.026929982
Tonga,TON,2020,10.077868,99.9,99.8,100,-2.746117037,0.488645323,6.671587709,-0.349737697,70.928,0.288290202,0.105254,0.298191893,2.675,0.255333307,98.4,0.015243902
Tonga,TON,2021,3.992305,100,100,100,-3.862821262,-2.667506175,6.742461774,5.640511406,70.986,0.722298202,0.106017,0.716469482,2.111,0.741700288,99.9,0.001001001
Tonga,TON,2022,8.747005,100,100,100,-7.083523452,-2.011520563,7.016366131,10.97136529,71.27,0.790139167,0.106858,0.762513623,2.354,0.882029903,100,0
Tunisia,TUN,2020,10.728773,99.9,99.7,100,-592.1863261,-8.59182618,11.73416986,5.634151159,75.292,0.928583172,12.161723,-0.097924077,17.576,1.380955424,100,-0.001
Tunisia,TUN,2021,7.032342,99.9,99.7,100,-531.4096303,4.605186743,12.15905453,5.706350208,73.772,0.82886347,12.262946,-0.228249275,16.505,1.28779928,99.9,0
Tunisia,TUN,2022,260.672166,100,99.7,100,-631.7677452,2.603960589,13.25339062,8.306461244,74.263,0.756904882,12.356117,-0.331615162,15.301,1.222277564,99.9,0.001001001
Turkmenistan,TKM,2020,77.369743,100,100,100,2223.421516,5.9,11.98930244,9.883841135,68.687,1.483129015,6.250438,0.5023449,4.489,2.378293715,99.9,0.001001001
Turkmenistan,TKM,2021,118.441895,100,100,100,77.30180645,6.2,17.08464054,4.526585304,69.264,1.451977111,6.341855,0.431721112,4.452,2.365597605,100,0
Turkmenistan,TKM,2022,462.439109,100,100,100,509.5348265,6.2,16.77115218,8.316560175,69.41,1.392296984,6.43077,0.331408211,4.121,2.323835385,100,0
Tuvalu,TUV,2020,1.300712,99.4,98.4,100,-1.427622164,-4.274932069,4.804461748,1.178474077,64.382,1.0261157,0.011069,-1.173107176,6.3306,2.283856046,99.7,-0.003009027
Tuvalu,TUV,2021,0.797106,99.7,99.1,100,-0.915227712,1.804135911,5.053750446,3.931468352,64.547,1.212244899,0.011204,-0.95863499,4.9026,2.412107186,99.4,0.003018109
Tuvalu,TUV,2022,1.627126,100,99.1,100,0,0.677309361,5.394228753,17.33403831,64.854,0.959325176,0.011312,-1.147240116,5.5234,2.085823012,99.7,0.003009027
Uganda,UGA,2020,21.229597,42.1,32.8,70.1,-1191.155588,2.951306422,2.535215707,3.313322895,62.851,3.332808745,44.404611,2.545730033,3.914,5.737879423,41.3,0.01937046
Uganda,UGA,2021,47.079939,45.2,35.9,72.3,-1647.892932,3.536580341,2.688266835,2.204572048,62.705,3.211427904,45.853778,2.410049098,3.422,5.583485134,42.1,0.073634204
Uganda,UGA,2022,160.060781,47.1,35.9,72,-2952.578039,4.588021922,2.92066477,7.19578886,63.638,2.99862764,47.249585,2.181294792,2.93,5.342484502,45.2,0.042035398
Ukraine,UKR,2020,7.016261,100,100,100,58,-3.7528041,15.7168418,2.732492094,71.18512195,-0.601605747,44.207754,-1.044812892,9.475,-0.407476423,100,0
Ukraine,UKR,2021,3.018849,100,100,100,-7518,3.445625583,18.0403457,9.363139177,69.64780488,-0.81486093,43.848986,-1.306329017,9.834,-0.60103307,100,0
Ukraine,UKR,2022,799.725305,100,100,100,-187,-28.75859059,16.08022852,20.18363666,68.58792683,-14.31654345,38,-14.85364564,10.9868,-14.08457741,100,0
Uzbekistan,UZB,2020,158.571472,100,100,100,-1716.938024,1.995585082,7.516215664,12.86772974,70.331,1.922126527,34.23205,1.956420099,5.293,1.888410357,100,0
Uzbekistan,UZB,2021,18.752741,99.9,99.8,100,-2277.773116,7.403368136,8.162195817,10.84923975,70.862,1.975706066,34.9151,1.953519852,5.345,1.997521347,100,-0.001
Uzbekistan,UZB,2022,231.573943,100,100,100,-2650.373267,5.668817055,9.042343916,11.4466437,71.674,2.077644911,35.6481,1.998940162,4.535,2.154956438,99.9,0.001001001
Vanuatu,VUT,2020,6.265022,67.3,57.5,95.8,-39.69381037,-4.992491429,2.989923831,5.329350731,70.299,2.363729591,0.311685,2.187657334,4.046,2.879235982,64.5,0.043410853
Vanuatu,VUT,2021,0.171552,70,60.7,97,-42.83858767,-1.552294891,3.00658031,2.343283582,70.449,2.362741525,0.319137,2.174549899,4.734,2.909814188,67.3,0.040118871
Vanuatu,VUT,2022,0.171552,70,60.7,97,-9.20510698,1.916057012,3.203616623,6.679305819,70.492,2.354426992,0.32674,2.151373895,5.171,2.940220699,70,0
"Venezuela, RB",VEN,2020,0.064142,99.9,99.3,100,-1229.20288,-4.886962975,19.51701327,2.705759434,71.095,-1.674985598,28.490453,-2.007171579,7.53,-1.630797425,99.8,0.001002004
"Venezuela, RB",VEN,2021,0.057293,100,99.9,100,-5007.714178,6.480180827,21.90507686,5.682885604,70.554,-1.025178708,28.199867,-1.418423286,7.027,-0.973082845,99.9,0.001001001
"Venezuela, RB",VEN,2022,0.117293,100,100,100,-7382.29004,4.730043714,26.06717893,9.495531322,71.105,0.360447056,28.301696,-0.094536908,5.747,0.420433261,100,0
West Bank and Gaza,PSE,2020,21.683317,100,100,100,-138.848318,-11.31846611,5.956286201,-0.735332001,74.403,2.486549938,4.803269,1.295275268,25.895,2.850876512,100,0
West Bank and Gaza,PSE,2021,288.369753,100,100,100,-295.5226936,7.011982276,5.663121607,1.237481028,73.473,2.457038653,4.922749,1.229699623,26.39,2.82652486,100,0
West Bank and Gaza,PSE,2022,322.852851,100,100,100,-390.2251235,4.082760273,6.158160093,3.741223919,73.444,2.425537776,5.043612,1.165269423,24.42,2.798858505,100,0
"Yemen, Rep.",YEM,2020,16.424341,73.9,62.1,93.1,-1047.446915,-12.94248535,6.758218365,36.57235088,64.65,2.310447397,32.284046,1.292965415,17.972,3.999744035,72.8,0.01510989
"Yemen, Rep.",YEM,2021,9.567383,74.9,63.4,93.1,-1927.809325,30.85254307,8.934804077,76.22650751,63.753,2.137789701,32.981641,1.104967721,18.248,3.806804483,73.9,0.0135318
"Yemen, Rep.",YEM,2022,81.782617,76,65,96.1,-1469.07461,5.54912687,5.773093837,14.58074254,63.72,2.144628421,33.696614,1.09444825,17.515,3.796454801,74.9,0.014686248
Zambia,ZMB,2020,11.445295,44.6,14,82.6,-181.166849,-2.785055065,3.179265411,15.73306047,62.38,2.933818135,18.927715,1.932903338,6.032,4.189737992,43,0.037209302
Zambia,ZMB,2021,23.44688,46.7,14.5,85.7,-674.2993548,6.234922047,3.526507418,22.02076762,61.223,2.840805978,19.473125,1.818821162,5.195,4.094429904,44.6,0.047085202
Zambia,ZMB,2022,57.253652,47.8,14.5,87,-187.6433409,5.249622323,3.864894367,10.99320392,61.803,2.758032343,20.017675,1.714441806,5.993,4.009237559,46.7,0.023554604
Zimbabwe,ZWE,2020,0.42239,52.7,37.1,85.7,-153.86,-7.816950647,2.784872395,557.2018174,61.124,2.03111171,15.669666,1.983890973,8.621,2.130420915,46.7,0.128479657
Zimbabwe,ZWE,2021,2.356068,49,31.6,85.3,405.9035525,8.468016898,3.276267753,98.54610509,59.253,2.045714878,15.993524,1.955651308,9.54,2.234723527,52.7,-0.070208729
Zimbabwe,ZWE,2022,7.655996,50.1,33.7,89,-130.9237024,6.52237533,3.660835501,104.7051706,59.391,2.02403631,16.320537,1.888043327,10.087,2.308436635,49,0.02244898
