country,year,electricity_aid,id,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Brazil,2020,6.076827,BRA,99.7,98.7,99.9,-41737.36981,-3.276758796,15.75907823,3.211768038,74.009,0.665176682,213.196304,-1.242708647,13.697,0.951553411
Brazil,2021,2.530125,BRA,99.5,97.3,99.8,-30201.1734,4.762604379,17.6729168,8.301659756,72.75,0.528590453,214.326223,-1.376971574,13.159,0.808423004
Brazil,2022,5.577151,BRA,100,97.3,100,-41251.76957,3.016694354,19.39858981,9.28010609,73.425,0.459583548,215.313498,-1.434774133,9.231,0.731782792
Burkina Faso,2019,48.793078,BFA,17.6,,64.6,-146.535904,5.88920497,2.233261555,-3.23338934,60.039,2.703875567,20.951639,1.81948546,4.701,4.800404381
Burkina Faso,2020,24.104447,BFA,18.5,,66.1,91.63897326,2.010772624,2.375862852,1.884439938,59.731,2.688787667,21.522626,1.789294301,4.985,4.7586163
Burkina Faso,2021,16.374243,BFA,19,,67.6,36.8380545,6.939155247,2.4677406,3.653532872,59.27,2.650375915,22.100683,1.733995673,5.11,4.697431091
Burkina Faso,2022,67.404367,BFA,19.5,3.4,60.5,-646.2083463,1.777915438,2.620507654,14.29023543,59.766,2.559988391,22.673762,1.629258116,5.348,4.578534343
Burundi,2019,22.615485,BDI,9.8,2,60.8,-29.54167672,1.812565324,0.804165344,-0.686772171,62.351,3.26424857,11.874838,2.879455704,1.053,5.794906079
Burundi,2020,9.695822,BDI,9.1,0.9,60.5,-20.09071128,0.327156893,0.812055173,7.321106434,61.566,2.867082195,12.220227,2.471535569,1.03,5.393632938
Burundi,2021,2.784934,BDI,10.2,1.6,62.8,-21.24343107,3.099999999,0.864280733,8.404538451,61.663,2.672478462,12.551213,2.266052349,1.11,5.193691055
Burundi,2022,15.397398,BDI,10.3,1.7,64,-23.32307097,1.848999439,0.917506035,18.80087867,61.977,2.66016084,12.889576,2.241568332,0.919,5.181768293
Cabo Verde,2019,5.531621,CPV,91.4,87.3,93.5,-106.9304556,6.947826325,7.702923563,1.106666743,76.004,1.01513458,0.57703,-0.345441164,12.118,1.717171369
Cabo Verde,2020,1.894315,CPV,93.7,92.7,94.3,-63.66000206,-20.80527592,6.053270155,0.605795808,74.808,0.967524169,0.58264,-0.393462666,14.66,1.655483825
Cabo Verde,2021,1.687065,CPV,95.5,96.9,94.9,-92.09355917,7.033530103,6.75369163,1.862152975,74.052,0.902988883,0.587925,-0.45549,13.906,1.575813409
Cabo Verde,2022,3.812681,CPV,97.1,96.9,95.3,-104.3419732,17.43907944,8.415157595,7.930929254,74.722,0.884624345,0.593149,-0.471079299,12.272,1.542630676
Cambodia,2019,47.730149,KHM,84,80,96.9,-3561.195452,7.054106932,4.620963392,1.942575008,70.692,1.132442162,16.207746,0.58665651,0.12,2.899692092
Cambodia,2020,29.404687,KHM,86.4,82.9,97.3,-3497.632099,-3.096006731,4.50424716,2.940295143,70.416,1.160057697,16.39686,0.598078767,0.172,2.937896229
Cambodia,2021,35.769327,KHM,82.5,77.1,98.9,-3391.043981,3.026389364,4.66823778,2.920734776,69.584,1.165135849,16.589023,0.588033612,0.396,2.948412356
Cambodia,2022,64.363587,KHM,92.3,88,99,-3428.345015,5.239810289,5.202677725,5.343702649,69.896,1.072167381,16.767842,0.47835914,0.247,2.864036159
Cameroon,2019,68.797571,CMR,63.2,23.6,93.1,-898.8707384,3.475059982,4.195670175,2.452802141,61.584,2.774879781,25.782341,1.403948943,3.646,3.823046878
Cameroon,2020,25.734872,CMR,64.3,24.2,93.9,-590.771938,0.259932916,4.319218871,2.437608822,60.833,2.711853658,26.491087,1.326579476,3.866,3.745673451
Cameroon,2021,51.508338,CMR,65.4,24.8,94.7,-908.7098428,3.338857472,4.74176177,2.271857625,60.333,2.635819406,27.198628,1.240651294,3.951,3.652176219
Cameroon,2022,263.974196,CMR,71,25,94,-898.3353712,3.582796319,5.122644393,6.247677133,60.958,2.598102588,27.914536,1.190460829,3.687,3.599127785
Central African Republic,2019,7.548917,CAF,14.3,1.5,32.1,,3.1,0.934815543,2.685373553,55.025,2.223361071,5.209324,1.528540096,5.978,3.200112445
Central African Republic,2020,6.693219,CAF,15.4,1.9,33.9,,0.899999997,1.003148677,1.710156595,54.604,2.534093932,5.34302,1.796361489,6.556,3.553540599
Central African Republic,2021,11.683398,CAF,15.7,1.6,34.7,,0.982919996,1.057194395,4.259364175,53.895,2.113637226,5.457154,1.332085989,6.676,3.174372247
Central African Republic,2022,59.846878,CAF,15.7,1.6,34.7,,0.502110003,1.112445986,5.583167352,54.477,2.210795117,5.579144,1.384397422,6.337,3.31145591
China,2019,115.359301,CHN,100,100,100,-50259.82236,5.950500754,17.2621759,2.899234164,77.968,0.35474089,1407.745,-2.516079661,4.56,2.290177234
China,2020,75.281407,CHN,100,100,100,-99374.80772,2.238638356,17.89148029,2.419421895,78.077,0.23804087,1411.1,-2.624262199,5,2.078140058
China,2021,45.31842,CHN,100,100,100,-165277.2371,8.448469417,20.40672966,0.981015136,78.211,0.0892522,1412.36,-2.76132205,4.55,1.838530282
China,2022,228.98831,CHN,100,100,100,19846.37167,2.989084086,22.49944267,1.973575557,78.587,-0.013099501,1412.175,-2.848480476,4.98,1.649480857
Colombia,2019,47.175842,COL,99.4,97.1,100,-10835.65754,3.186855392,16.09149905,3.523019327,76.752,1.830746942,50.187406,0.120229422,10.28,2.233509463
Colombia,2020,3.650608,COL,99.7,98.5,100,-5725.176361,-7.185914138,15.42759378,2.526635001,74.769,1.470102032,50.930662,-0.243267277,15.983,1.865109516
Colombia,2021,33.048426,COL,100,100,100,-6380.521503,10.80119819,17.58723179,3.495057574,72.83,1.143820916,51.516562,-0.566548048,13.898,1.529933014
Colombia,2022,48.701668,COL,100,100,100,-13799.00571,7.288883887,21.05566303,10.17723135,73.659,0.691481571,51.874024,-1.020795408,10.547,1.07001571
Comoros,2019,20.47465,COM,83.3,77.6,97.3,-4.300803966,1.760780239,3.294288308,,64.068,1.872447912,0.790986,1.59192825,5.1,2.557093459
Comoros,2020,9.093181,COM,85.6,80.1,99,-3.875846081,-0.195556827,3.245399588,,64.166,1.900940814,0.806166,1.595441843,5.884,2.639099981
Comoros,2021,4.398487,COM,87.9,82.9,100,-4.024772182,2.112195577,3.426757734,,63.417,1.899440995,0.821625,1.569003398,5.857,2.689265697
Comoros,2022,10.298725,COM,89.9,82.9,100,-3.839060116,2.387678485,3.687625662,,63.68,1.82699355,0.836774,1.469820839,5.854,2.670869748
"Congo, Dem. Rep.",2019,44.871382,COD,19.1,1,41.2,-1350.994226,4.384528874,1.206798113,,60.276,3.186288389,89.90689,2.125586629,4.642,4.495717425
"Congo, Dem. Rep.",2020,16.060561,COD,20.1,1,42.8,-1498.084808,1.735422767,1.174385868,,59.739,3.224478443,92.853164,2.141369957,5.369,4.530128954
"Congo, Dem. Rep.",2021,33.12533,COD,20.8,1,43.8,-1677.67379,6.200154011,1.358204717,,59.193,3.22252816,95.894118,2.118260822,5.273,4.522165517
"Congo, Dem. Rep.",2022,117.487478,COD,21.5,1,45.3,,8.924447626,1.533743878,,59.743,3.197835105,99.010212,2.071830989,4.585,4.491476331
"Congo, Rep.",2019,15.403097,COG,47.7,11.4,65.3,1850.224651,1.124477074,5.766754924,2.206073058,62.747,2.355238072,5.570733,0.964270796,20.608,3.03586515
"Congo, Rep.",2020,5.118048,COG,48.7,11.8,66.2,1001.980582,-6.267777996,4.813315626,1.795371471,63.785,2.332086251,5.702174,0.924593574,22.373,3.006643832
"Congo, Rep.",2021,3.629748,COG,49.7,12.4,67,330.178308,1.01507338,6.323717579,1.715642755,63.519,2.316488253,5.835806,0.895271039,22.077,2.983567819
"Congo, Rep.",2022,3.696284,COG,50.6,12.4,67.5,,1.475356132,6.713963637,3.043443347,63.053,2.28055585,5.970424,0.841960506,20.261,2.941799495
Costa Rica,2019,142.56733,CRI,99.7,98.9,99.9,-2695.142885,2.417511817,22.94952866,2.096046353,79.427,0.865128347,5.084532,-2.762364015,10.807,1.788517924
Costa Rica,2020,34.426173,CRI,99.9,99.7,99.9,-1644.265639,-4.273354321,21.71687024,0.724911478,79.277,0.755771068,5.123105,-2.794747303,16.432,1.619944523
Costa Rica,2021,5.37352,CRI,100,100,99.8,-3146.180283,7.935762247,23.70029613,1.726477551,77.023,0.600406861,5.153957,-2.859852965,15.139,1.406834718
Costa Rica,2022,12.09541,CRI,100,100,100,-3060.056477,4.55149178,26.18114202,8.274774902,77.32,0.520031292,5.180829,-2.858138071,11.325,1.274945307
Cuba,2019,1.061898,CUB,99.8,99.5,99.9,,-0.163087224,,,77.611,-0.101983052,11.316697,-0.416040478,1.2,-0.008560069
Cuba,2020,NA,CUB,99.9,99.7,100,,-10.9490846,,,77.567,-0.141475202,11.300698,-0.513494255,1.4,-0.031301482
Cuba,2021,NA,CUB,100,100,100,,1.253693425,,,73.683,-0.393012542,11.256372,-0.823640913,1.373,-0.266142849
Cuba,2022,0.105154,CUB,100,100,100,,1.774853995,,,78.155,-0.393269983,11.212191,-0.874436312,1.254,-0.252344638
Djibouti,2019,20.340381,DJI,64.7,40.3,71.6,-174.9990153,5.5451306,5.471963294,3.319253727,63.085,1.576239752,1.073994,0.953552095,26.246,1.753448511
Djibouti,2020,4.447854,DJI,64.5,35.8,72.6,-158.230011,1.316363242,5.676305934,1.777407838,62.694,1.493639579,1.090156,0.825448163,27.645,1.682229503
Djibouti,2021,3.866693,DJI,65.4,36.6,73.5,-166.7501308,4.522347746,6.032277956,1.181917753,62.305,1.40284751,1.105557,0.693780245,27.548,1.601216679
Djibouti,2022,12.211619,DJI,65,36.6,72.8,-187.0228476,3.72857647,6.60638768,5.17980848,62.859,1.373715349,1.120849,0.622995655,26.367,1.581786654
Dominica,2019,2.152094,DMA,99.9,,,-62.98565269,5.502483437,14.45153792,1.504623539,73.559,0.850614263,0.071428,-0.181940106,,1.279886897
