country,id,year,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Kenya,KEN,2020,71.5,62.7,94.1,-568.7838879,-0.272766327,4.81392014,5.405162079,62.675,2.009700111,51.98578,1.334255013,5.621,3.768242363
Kenya,KEN,2021,76.5,68.2,97.5,-53.35759436,7.590489473,5.360361903,6.107936037,61.427,1.942761283,53.005614,1.248738518,5.693,3.706016741
Kenya,KEN,2022,76,65.6,98,-344.3840165,4.846634856,5.902091974,7.659862683,62.055,1.909510311,54.027487,1.195146862,5.805,3.680144053
Kiribati,KIR,2019,89.3,90.1,88.6,0.671045879,3.311258278,2.751820083,-1.813079953,67.15,1.606512389,0.124241,-0.101529181,,3.035570846
Kiribati,KIR,2020,91,94.3,88.4,-2.512229966,-0.641025641,2.721613344,2.553245544,67.266,1.772654752,0.126463,0.078382475,,3.146885497
Kiribati,KIR,2021,92.8,,88.3,-0.929993218,8.709677419,3.0364151363392202,2.053616768,67.417,1.888540758,0.128874,0.206350691,,3.212155216
Kiribati,KIR,2022,94.4,,86,-2.800444394,3.857566766,3.314935747,,67.661,1.813156636,0.131232,0.143837648,,3.088142657
"Korea, Dem. People's Rep.",PRK,2019,48.4,,,,,,,73.198,0.45644682,25.755441,-0.162246271,2.838,0.835379545
"Korea, Dem. People's Rep.",PRK,2020,50.5,,,,,,,73.274,0.4340173,25.867467,-0.220420948,3.029,0.830757909
"Korea, Dem. People's Rep.",PRK,2021,52.6,,,,,,,73.284,0.40294521,25.971909,-0.293264457,3.134,0.820464998
"Korea, Dem. People's Rep.",PRK,2022,54.7,,,,,,,73.578,0.37472956,26.069416,-0.361422143,2.965,0.811184781
"Korea, Rep.",KOR,2019,100,100,100,25604.7,2.24397786,43.86504164,0.383000304,83.22682927,0.347874969,51.764822,0.504154117,3.746,0.312269898
"Korea, Rep.",KOR,2020,100,100,100,26067.5,-0.709415359,45.14276345054029,0.537288023,83.42682927,0.137869266,51.836239,0.223993327,3.931,0.118218403
"Korea, Rep.",KOR,2021,100,100,100,43940.2,4.304734819,48.57143221,2.498333333,83.52682927,-0.128757315,51.769539,-0.128748362,3.639,-0.12875936
"Korea, Rep.",KOR,2022,100,100,100,40754.3,2.612672192,51.62192926,5.089513651,82.6804878,-0.187486567,51.672569,-0.257463668,2.857,-0.171518358
