country,year,electricity_aid
Niue,2021,NA
North Macedonia,2021,2.646446
"North of Sahara, regional",2021,1.800524
"Oceania, regional",2021,4.066627
Pakistan,2021,462.18248
Palau,2021,5.111263
Panama,2021,0.369519
Papua New Guinea,2021,5.199699
Paraguay,2021,5.128325
Peru,2021,3.118801
Philippines,2021,1.677304
Rwanda,2021,42.080405
Samoa,2021,NA
Sao Tome and Principe,2021,0.132094
Senegal,2021,59.798441
Serbia,2021,26.069161
Sierra Leone,2021,34.756357
Solomon Islands,2021,1.110271
Somalia,2021,1.391523
"South & Central Asia, regional",2021,0.02024
South Africa,2021,72.479027
"South America, regional",2021,0.33286
"South Asia, regional",2021,1.911934
South Sudan,2021,1.506831
"South of Sahara, regional",2021,31.894432
"Southern Africa, regional",2021,0.118415
Sri Lanka,2021,78.350484
Sudan,2021,NA
Suriname,2021,0.401
Syrian Arab Republic,2021,2.009712
Tajikistan,2021,61.635435
Tanzania,2021,88.407596
Thailand,2021,0.310211
Timor-Leste,2021,2.663841
Togo,2021,2.348333
Tonga,2021,3.992305
Tunisia,2021,7.032342
Turkmenistan,2021,118.441895
Tuvalu,2021,0.797106
Türkiye,2021,41.435535
Uganda,2021,47.079939
Ukraine,2021,3.018849
Uzbekistan,2021,18.752741
Vanuatu,2021,0.171552
Venezuela,2021,0.057293
Viet Nam,2021,48.304343
West Bank and Gaza Strip,2021,288.369753
"Western Africa, regional",2021,67.898415
Yemen,2021,9.567383
Zambia,2021,23.44688
Zimbabwe,2021,2.356068
"Africa, regional",2022,256.319706
Albania,2022,22.801707
"America, regional",2022,34.331235
Angola,2022,7.205441
Antigua and Barbuda,2022,NA
Argentina,2022,2.115442
Armenia,2022,56.580006
"Asia, regional",2022,66.196503
Azerbaijan,2022,NA
Bangladesh,2022,2024.976654
Belize,2022,3.070418
Benin,2022,292.663996
Bhutan,2022,47.723748
"Bilateral, unspecified",2022,668.339273
Bolivia,2022,95.114528
Bosnia and Herzegovina,2022,29.994626
Botswana,2022,0.136355
Brazil,2022,5.577151
Burkina Faso,2022,67.404367
Burundi,2022,15.397398
Cabo Verde,2022,3.812681
Cambodia,2022,64.363587
Cameroon,2022,263.974196
"Caribbean, regional",2022,0.304485
Central African Republic,2022,59.846878
"Central Asia, regional",2022,17.550514
China (People's Republic of),2022,228.98831
Colombia,2022,48.701668
Comoros,2022,10.298725
Congo,2022,3.696284
Costa Rica,2022,12.09541
Cuba,2022,0.105154
Côte d'Ivoire,2022,271.074902
Democratic Republic of the Congo,2022,117.487478
Djibouti,2022,12.211619
Dominica,2022,0.3795
Dominican Republic,2022,195.491475
"Eastern Africa, regional",2022,15.96126
Ecuador,2022,151.664493
Egypt,2022,750.238808
El Salvador,2022,0.391998
Eswatini,2022,13.389742
Ethiopia,2022,357.555273
"Europe, regional",2022,7.988517
"Far East Asia, regional",2022,0.131096
Fiji,2022,3.426662
Gambia,2022,169.831836
Georgia,2022,177.39395
Ghana,2022,78.325494
Grenada,2022,NA
Guatemala,2022,0.124297
Guinea,2022,230.955468
Guinea-Bissau,2022,48.049036
Guyana,2022,9.312035
Haiti,2022,9.423245
Honduras,2022,105.378029
India,2022,1199.070462
Indonesia,2022,850.358537
Iran,2022,17.480982
Iraq,2022,710.723301
Jamaica,2022,12.446611
Jordan,2022,284.727642
Kazakhstan,2022,0.06582
Kenya,2022,284.069936
Kiribati,2022,8.902548
Kosovo,2022,12.192938
Kyrgyzstan,2022,147.033057
Lao People's Democratic Republic,2022,0.111118
Lebanon,2022,21.307654
Lesotho,2022,9.204356
Liberia,2022,89.523249
Libya,2022,1.019172
Madagascar,2022,48.232717
Malawi,2022,71.414019
Malaysia,2022,0.021406
Maldives,2022,8.899786
Mali,2022,140.812508
Marshall Islands,2022,2.330374
Mauritania,2022,67.664806
Mauritius,2022,0.052986
Mexico,2022,1.831157
Micronesia,2022,NA
"Middle East, regional",2022,1.524774
Moldova,2022,5.658894
Mongolia,2022,30.405766
Morocco,2022,374.740165
Mozambique,2022,534.174349
Myanmar,2022,35.102078
Namibia,2022,0.238581
Nauru,2022,1.022815
Nepal,2022,337.031174
Nicaragua,2022,49.945337
Niger,2022,175.664546
Nigeria,2022,424.330483
Niue,2022,NA
North Macedonia,2022,16.36327
"North of Sahara, regional",2022,2.631574
"Oceania, regional",2022,8.574169
Pakistan,2022,763.977768
Palau,2022,15.247343
Panama,2022,1.322467
Papua New Guinea,2022,12.591309
Paraguay,2022,31.156515
Peru,2022,7.533893
Philippines,2022,20.470098
Rwanda,2022,73.250073
Samoa,2022,NA
Sao Tome and Principe,2022,2.130264
Senegal,2022,179.879335
Serbia,2022,42.124341
Sierra Leone,2022,91.164963
Solomon Islands,2022,4.941203
Somalia,2022,7.490675
"South & Central Asia, regional",2022,0.11443
South Africa,2022,106.286722
"South America, regional",2022,0.392434
"South Asia, regional",2022,4.671912
South Sudan,2022,1.682519
"South of Sahara, regional",2022,140.975259
"Southern Africa, regional",2022,3.100351
Sri Lanka,2022,202.315398
Sudan,2022,1.008708
Suriname,2022,10.6985
Syrian Arab Republic,2022,10.285194
Tajikistan,2022,166.226943
Tanzania,2022,169.063402
Thailand,2022,1.963234
Timor-Leste,2022,4.270635
Togo,2022,9.979639
Tonga,2022,8.747005
Tunisia,2022,260.672166
Turkmenistan,2022,462.439109
Tuvalu,2022,1.627126
Türkiye,2022,174.102307
Uganda,2022,160.060781
Ukraine,2022,799.725305
Uzbekistan,2022,231.573943
Vanuatu,2022,0.171552
Venezuela,2022,0.117293
Viet Nam,2022,93.010995
West Bank and Gaza Strip,2022,322.852851
"Western Africa, regional",2022,123.495407
Yemen,2022,81.782617
Zambia,2022,57.253652
Zimbabwe,2022,7.655996
